제목,저자,출판사,가격,서평,Link,category
고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),고명환,라곰,"15,120원","“사람에 묻지 말고, 고전에 물어라. 그 안에 진짜 길이 있다.”

*** 7만 명의 매일 아침을 바꾼 강연 ***
*** 16주 연속 베스트셀러 작가 신간 ***
*** 1000일 긍정 확언 결정판 ***

매일 아침 7만 명이 유튜브 강의를 찾아 듣고, 한 달에 20여 차례 전국의 강연장을 찾아가 독자들을 만나는 이 시대 최고의 강연자. 30만 독자가 기다린 베스트셀러 저자 고명환이 지난 10여 년간의 인생 내공이 응축된 책, 『고전이 답했다 마땅히 살아야 할 삶에 대하여』에서 고전(古典)에서 길어 올린 흔들림 없는 삶의 내공을 전한다. 1000일간 매일 외친 ‘아침 긍정 확언’은 매년 찾아오던 우울증을 떨쳐버리기 위해 괴테의 『젊은 베르테르의 슬픔』을 읽다가 발견한 해답이었다. ‘불안감’을 ‘기대감’의 말로 바꾸면 삶의 방향성이 달라진다는 고전의 답을 따라 매일 10분 긍정의 말을 외쳤고, 삶은 놀라운 방향으로 바뀌기 시작했다. 저자의 삶을 한층 밝고 건강한 쪽으로 이끈 것은 다름 아닌 ‘고전’이었다. 

나는 누구인가? 어떻게 살아야 하는가? 무엇을 행해야 하는가? 물음이 생길 때마다 고전을 펼쳐 들었고, 고전이 답했다. 칼 구스타프 융의 『칼 융 레드 북』, 블레즈 파스칼의 『팡세』, 사마천의 『사기열전』, 미하이 칙센트미하이의 『몰입 Flow』까지 수백 년의 경험과 지혜가 압축된 고전을 읽다보면 방향이 선명해졌다. 인간관계에 대한 고민에서부터 행복한 삶을 사는 법, 이기는 법까지 우리가 원하는 모든 분야에 대한 답이 고전에 있다. 느리지만, 오로지 ‘성장’이라는 방향으로 나아가는 고전에서 답을 찾아보자.",http://www.yes24.com//Product/Goods/131930939,스마트폰과 SNS 사용
불변의 법칙,모건 하우절,서삼독,"22,500원","세계적인 베스트셀러 『돈의 심리학』의 저자 모건 하우절이 3년 만에 세상에 내놓은 신작.‘절대 변하지 않는 것들에 대한 23가지 이야기’를 전한다. 출간하자마자 아마존과 뉴욕타임스 베스트셀러 자리에 오르며 아마존 독자들과 오피니언 리더들의 극찬을 받았다. 이번 책은 돈과 투자 영역은 물론이고, 인간의 본성과 세상의 이치에 관한 이야기를 두루 다루어 한층 더 다층적이고 복합적인 메시지를 담아냈다는 평가를 받는다. 

모건 하우절은 사람들은 무엇이 변할 것인지에 대해 늘 관심을 갖지만, 미래에 대비하기 위해서는 오히려 과거에도 지금도 미래에도 변함이 없는‘불변의 법칙’에 대해 알아야 한다고 강조한다. 이에 1000년 후에도 유효할 인간의 행동양식과 반복패턴에 대한 흥미로운 역사 스토리와 일화들을 들려준다. 워런 버핏의 스니커즈, 빌 게이츠의 숨겨진 불안, 유발 하라리가 받은 뜻밖의 비난, 게임스탑 사태의 보이지 않는 변수, 벌지 전투의 최후, 마술사 후디니의 죽음 등, 한 편 한 편의 이야기가 마치 다큐소설처럼 펼쳐진다. 흥미로운 일화 속에 인간사를 꿰뚫는 통찰과 삶의 교훈을 구슬처럼 꿰어내어 “역시 모건 하우절이다”라는 찬사를 받았다. 스콧 갤러웨이, 라이온 홀리데이는 물론, 국내 유수의 리더들 또한 먼저 읽고 “대단한 책이다”라는 평가를 내놓았다.",http://www.yes24.com//Product/Goods/124999476,경제적 안정과 투자
망그러진 만화 3,유랑,좋은생각,"16,020원","2023 한국에서 가장 재미있는 책 선정!‘망그러진 곰’과 ‘망그러진 햄터’의 엉뚱발랄 신나는 일상!★★★★ 미공개 에피소드와 한정판 페이퍼 토이북 수록! ★★★★‘이모티콘 캐릭터 장인’ 유랑 작가의 웹툰 ‘망그러진 만화’가 어느덧 세 번째 책으로 찾아왔다! 카카오 이모티콘 인기 캐릭터인 ‘망그러진 곰’과 ‘망그러진 햄터’의 엉뚱하면서도 공감 가득한 일상을 담은 ‘망그러진 만화’는 SNS 연재를 통해 45만 팔로워의 뜨거운 사랑을 받고 있다. 이번 책에는 인스타그램에서 공개되지 않았던 미공개 에피소드 5편과 팬들의 궁금증을 풀어줄 특별 Q&A를 포함해 총 43편의 이야기가 담겼다. 특히 초판본 한정으로 수록된 페이퍼 토이북에서는 ‘망그러진 곰’ 피규어, 가랜드, 포토카드 홀더 등 귀엽고 사랑스러운 나만의 굿즈를 직접 만들어볼 수 있는 특별한 경험도 선사한다. 투명 스티커로 표지를 꾸미는 즐거움은 덤!",http://www.yes24.com//Product/Goods/140199981,일과 삶의 균형
애니만 봤더니 일본어를 잘하게 된 건에 대하여,센님,길벗이지톡,"16,650원","“코난밖에 모르던 내가 일본어로 먹고살아요‘그저 좋아하다가 잘하게 된 센님의 일본어 덕질기26만 구독자, 조회수 4천 만뷰를 기록하며 일본어, 일본여행 전문 콘텐츠로 많은 사랑을 받고 있는 유튜브 크리에이터 센님의 일본어 학습 에세이가 출간되었다. 솔직하고 긍정적인 애티튜드로 많은 사랑을 받고 있는 센님이 유창한 일본어 실력을 갖게 되기까지의 경험담을 솔직하게 풀어냈다. 비전공자에 학원 한 번 다녀보지 않았지만 각 잡고 진지하게 공부하지 않아도, 내가 좋아하는 덕질만으로도 ‘센님만큼’ 할 수 있다는 메시지를 기분 좋게 전달한다. 센님은 애니 덕질로 시작해서 3년 만에 JLPT N1을 취득하고 현재는 일본어, 일본여행 전문 유튜브 크리에이터, 한국어 강사, 일본어 강사, 작가 등 일본어를 기반으로 한 다양한 경력을 쌓아가고 있다. 소위 ‘일본어로 먹고사는’ 삶을 살고 있는 것. 이 모든 것은 덕질로 쌓아올린 ‘덕질 일본어’ 덕분이라고 저자는 말한다. 일본으로 가는 한국인 관광객 역대 최다 수치를 기록한 올해, 일본에 관심이 있거나 일본어를 배우고 싶어 하는 사람들도 꾸준히 늘고 있다. 하지만 현생에 치여 공부는 부담스럽고 또 어떻게 시작해야 할지 막막한 사람도 분명 있을 것이다. 이에 저자는 언어를 ‘공부’가 아닌 ‘덕질’ 하라고 제안한다. 정석적인 공부법이나 불타는 공부 의지가 아니라 ‘재미’와 ‘즐김’이 일본어 실력을 일정 수준까지 끌어올리는 원동력이 된다는 것. ‘센님과 일본어’에 대해 써내려간 솔직한 경험기를 읽다보면 일본어를 재밌게 배우는 방법, 일본어를 지속적으로 즐길 수 있는 힌트, 나아가 인생에 필요한 마인드셋 포인트도 얻을 수 있을 것이다.  일단 책을 펼쳐보자. 공부에 대한 부담은 내려놓고 힘껏 즐길 마음만 준비하면 충분하다.",http://www.yes24.com//Product/Goods/139854582,경제적 안정과 투자
소득혁명,브라이언 페이지,서삼독,"18,000원","“나의 아버지는 수십 년간 영혼을 박살 내는 일에 매여 살았으나 처절히 가난했고, 일흔이 넘어서는 흑색종 4기 진단을 받았다. 은퇴는 했으나 이미 아무것도 할 수 없는 몸이었다. 아버지의 마지막 모습은 내 가슴에 불을 지폈다. 이것이 책을 쓰게 된 이유다.” 브라이언 페이지의 책 『소득혁명』은 이런 이유에서 시작되었다. 아버지의 비참한 죽음에 큰 충격을 받은 그는 ‘소모당하지 않는 삶’을 살기 위해 ‘돈과 시간의 자유’가 있는 인생 설계를 시작했고, 평범한 회사원에서 벗어나 현재는 수천 억원의 자산가가 되었다. 그가 찾은 해법은 ‘자동 소득’이었다. 실제로 회사를 다니며 자동 소득을 설계했고, 준비가 끝나자 스스로 직장을 해고한다. 그렇게 퇴사한 지 불과 3년 만에 연소득은 수천만 달러, 즉 수백 억원에 달했다. “자동 소득을 통해 현금이 지속적 ? 반복적으로 흐르는 시스템을 갖춰 ‘돈과 시간의 풍요’를 누리는 신흥 부자들이 있습니다. 나와 내 친구들 같은 사람이죠. 핵심은 ‘빨리’입니다. 30~40년 뒤에 부자 될 생각은 하지도 마세요. 당신의 람보르기니에 노인용 보행기를 싣고 다닐 셈이 아니라면요. 3년에서 5년 고생하면 됩니다. 대신, 아주 힘들 거예요.” 그는 힘든 여정이긴 하지만 반드시 목적지에 도착한다고 자신하며, 독자들에게 자동 소득 설계의 AtoZ를 제시한다. 본인은 물론, 그의 친구 팀 페리스, 딘 그라지시오 등의 경험과 실전 로드맵을 아낌없이 공개한다. 과로에 시달리는 직장인, 대박의 꿈을 실현하지 못한 연쇄 창업가, N잡러의 노예가 된 소시민 사장이라면 특히나 책의 메시지에 크게 공감하고, 브라이언의 경험과 가이드에서 강력한 영감과 에너지를 얻을 수 있을 것이다.",http://www.yes24.com//Product/Goods/140001692,일과 삶의 균형
트럼프 2.0 시대,박종훈,글로퍼스,"18,000원","2024년 제47대 미국 대통령 선거에서 도널드 트럼프가 당선되면서 『트럼프 2.0 시대』가 도래했다. 지난 2017년 트럼프 정부 1기 때와는 판도가 완전히 달라진 양상이다. 한층 강력해진 트럼프 정부 2기를 앞두고 여러모로 불리한 정책 방향이 예상되지만 대한민국 경제는 물론, 세계 경제사의 현장에서 함께 뛰어온 박종훈 경제 전문가가 정확한 분석과 대비를 통해 트럼프 리스크를 트럼프 기회로 바꿀 수 있는 방안을 제시한다. 더불어 트럼프 정책이 어떤 나비 효과를 불러올지, 그리고 그 안에서 어떠한 기회를 찾을 수 있을지 정확하게 분석한다. 국내 대다수 언론들의 예측을 깨고 대선 전부터 트럼프 당선을 예견해 온 저자가 더욱 막강해진 트럼프 2.0 시대에 환율, 금리, 물가 등 글로벌 경제의 거대한 지각 변동, 미중 패권 전쟁과 무역 질서의 재편, 반도체와 에너지 산업의 향방, 우크라이나 전쟁, 중동 위기, 중국과 대만 갈등을 포함한 국제 정세와 더불어 이러한 변화가 한국 경제에 미치는 영향은 무엇인지 면밀히 짚어 본다. 트럼프 시대를 위기가 아닌 새로운 기회로 삼고자 하는 저자의 간절한 바람과 더불어 다시 한번 대한민국이 재도약할 수 있는 부활의 길을 찾을 수 있기를 바라 본다.",http://www.yes24.com//Product/Goods/136734901,경제적 안정과 투자
무의식은 어떻게 나를 설계하는가,데이비드 이글먼,알에이치코리아(RHK),"22,500원","★ 뉴욕타임스 베스트셀러, 보스턴 글로브 올해의 책 ★ 
뇌과학계의 칼 세이건, 데이비드 이글먼 연구의 첫걸음 
“우리가 뇌에 대해 궁금해하는 질문들에 관해 현대 뇌과학이 내놓은 해답.”
뇌과학자 정재승 추천! 

오늘 했던 행동이 정말 내가 한 게 맞을까? 어떤 일들은 의식하지 못하는 사이에 일어나곤 한다. 도어락 비밀번호를 눌러 문을 열고, 운전을 해서 출근하는 행위 같은 일상적인 행동에서부터, 가끔 ‘이걸 내가?’ 싶은 멋진 글을 써내기도 한다. 괴테가 『젊은 베르테르의 슬픔』을 쓸 때 “손에 쥔 펜이 저절로 움직이는 것 같았다”고 했던 것이나 지드래곤이 〈This love〉를 작사하는 데 20분도 채 걸리지 않았다며 스스로 놀라움을 표현한 일 모두, 그 중심에는 ‘무의식’이 있다.

『무의식은 어떻게 나를 설계하는가』는 『우리는 각자의 세계가 된다』로 다시 한번 국내에 이름을 알린 신경과학자 데이비드 이글먼의 초기 연구서다. 2011년 출간 이후 10여 년이 지났지만 책이 주는 메시지는 유효하다. 뇌는 여전히 연구가 진행 중인 ‘정답이 없는’ 가능성의 세계이기 때문이다. 이글먼은 무의식에 대해 깊이 있게 들여다본다. 뇌는 우리가 생각하는 것보다 훨씬 더 많은 일을 한다. 무의식을 조종하는 통제 센터이자 자동 시스템을 구축한 범인, 원서 제목(Incognito)처럼 ‘눈에 보이지도 않는’ ‘익명의’ 존재인 뇌의 발자취를 좇다 보면, 결국 ‘나는 누구인가’라는 질문에 도달한다. 뇌과학자 정재승 교수의 말을 빌리자면, 재미있게도 “우리는 마음대로 행동하지만, 마음이 작동하는 과정은 우리가 의식하지 못한 채 이루어진다.” 어쩌면 세상에서 일어나는 이해할 수 없는 사건들을 이 책을 통해서 조금이나마 이해하게 될지도 모르겠다. 강력범죄를 저지르는 범인의 머릿속에는 무엇이 들어 있을까? 술 마시고 하는 말은 어디까지가 진심인가? 왜 비밀은 발설하고 싶은 강렬한 유혹이 들까? 불륜을 저지르는 유전자는 따로 있는 걸까? 이름이 비슷한 사람끼리 사랑에 빠지는 게 정말 우연일까? 이러한 질문들에 관한 답을 이 책에서 찾아볼 차례다.",http://www.yes24.com//Product/Goods/138503348,일과 삶의 균형
일의 감각,조수용,레퍼런스 바이 비(REFERENCE by B),"19,800원","좋은 감각을 지니려면, 디자인을 잘하려면, 더 나은 브랜드를 만들려면 어떻게 해야 하는가‘일’하는 사람의 섬세한 ‘감각’ 탐구 조수용의 첫 단독 에세이한 호에 하나씩, 균형 잡힌 브랜드를 선정하여 그 철학과 감성, 이야기를 소개하는 매거진 『B』의 발행인 조수용의 에세이 『일의 감각』이 출간되었다. 『일의 감각』은 조수용의 첫 단독 저서로, 처음 일을 시작했을 때부터 지금까지 어떤 마음으로 일해왔는지, 디자이너에서 크리에이티브 디렉터, 회사의 대표로 책임의 범위가 넓어지는 동안 어떻게 중심을 잡고 감각을 키워왔는지 그가 진행했던 프로젝트들을 통해 이야기하는 책이다. 조수용은 네이버의 브랜드 마케팅과 디자인을 총괄하고 카카오 공동대표를 지낸 디자인과 브랜드 전문가이다. 네이버의 초록 검색창을 디자인했고, 무료 서체인 ‘나눔글꼴’ 캠페인과 신사옥 ‘그린팩토리’의 기획을 맡았으며, JOH를 설립한 후에는 매거진 『B』의 창간뿐 아니라 영종도 네스트 호텔, 광화문 D타워의 공간을 기획하고 복합문화공간 사운즈 한남을 만드는 등 다양한 분야를 넘나들며 일을 해왔다. 디자인과 브랜드가 결합한 프로젝트를 성공적으로 해내며 ‘감각이 좋은 사람’으로 통했지만, 그 평판의 수면 아래에는 잘하고 싶은 마음과 도전하는 태도, 선택이 어려운 순간에도 최선의 결정을 고민하며 쉼 없이 발을 움직였던 시간이 차곡차곡 쌓여 있다. 이 책에서 조수용이 일에 대해 이야기하기 위해 정리한 다섯 가지 단어는 다음과 같다. 공감, 감각, 본질, 브랜드, 나로서 살아가는 나. 각 장의 제목이기도 한 이 단어들에는, 저자가 32년간 크리에이티브 영역에서 일하면서 트렌드를 좇기보다는 현상 너머에 자리한 본질을 파악하기 위해 노력했던 시간이 담겨 있다. 책에는 커리어의 변곡점마다 각종 매체와 나눈 세 번의 인터뷰도 실려 있으며, 그가 일하는 방식과 브랜드에 대한 고찰을 보다 입체적으로 들어볼 수 있다. 서비스 기획자나 디자이너, 마케터뿐 아니라 어디서든 감각을 발휘해 일하고자 하는 독자라면 이 책이 친절한 안내자가 되어줄 것이다.",http://www.yes24.com//Product/Goods/138336669,일과 삶의 균형
ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),"17,820원","출제기관 ETS 토익 정기시험 기출문제 10회 최신판 Vol.4 독점공개!
시험에 출제된 기출문제 그대로, 빠르고 확실하게 대비하라!

1. 실제 기출문제 전격 공개!
이 책에는 정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 최신 기출문제로 실전 감각을 키워 시험에 확실하게 대비하자!

2. 고난도 문항 무료 동영상 강의!
교재 내 QR코드는 해당 회차의 무료 동영상 강의로 연결된다. 오답률 높은 고난도 문항을 친절한 해설 강의와 함께 완벽 마스터하자!

3. 기출 포인트를 꿰뚫는 해설! 
최신 출제경향을 가장 정확하게 알 수 있는 기출문제를 풀고 출제 포인트가 보이는 명쾌한 해설로 토익을 정복해 보자!

4 ETS가 제공하는 표준 점수환산표
출제기관 ETS의 최신 표준 점수환산표를 제공한다. 채점한 뒤 환산표를 통해 자신의 진짜 실력을 가늠해 보고 앞으로의 학습 방향을 설정해 보자!

5. ETS 토익 온라인/모바일 학습 지원!
온라인 학습 커뮤니티(www.etstoeicbook.co.kr)를 통해 교재 소개 및 학습 콘텐츠, 정기시험 대비특강을 지원한다. 또한 동영상 강의, 기출어휘 단어장, 기출테스트 채점/분석 등을 지원하는 토익 필수템 'ETS 토익기출 수험서 어플'로 보다 스마트하게 학습해 보자!",http://www.yes24.com//Product/Goods/124043812,스마트폰과 SNS 사용
마법천자문 65,알에스미디어,아울북,"14,220원","상상을 초월하는 왕우의 힘에절체절명의 위기를 맞는 손오공 일행!손오공은 친구들을 지키기 위해 주문을 외친다.강철의 주먹! 주먹 권 拳!수의 정수와 기계 갑옷의 힘으로 강해진 왕우. 손오공 일행은 각자의 능력으로 왕우에 맞서 싸우지만, 압도적인 왕우의 힘 앞에 결국 궁지에 몰린다. 바로 그때, 아람치는 특별한 능력을 발휘하게 되며 왕우의 장갑에 끼워진 수의 정수의 기운을 발견하고 모두에게 왕우의 약점을 알려 준다. 때맞춰 사이온까지 합류해 무효화 능력으로 왕우의 공격을 잠시 멈추지만 상황은 여전히 나아지지 않는다. 숨 돌릴 겨를도 없이 왕우의 마지막 일격이 다가오는 순간, 손오공은 오행의 정수를 모으면 본래의 힘을 되찾게 될 것이라는 삼장의 말을 떠올리며, 옥황계에서 사용했던 한자마법 주문을 외치는데….“자연의 기운을 불러 모아, 정확한 뜻을 새기고 굳건한 의지를 담아서! 나와라! 강철의 주먹! 주먹 권 拳!”",http://www.yes24.com//Product/Goods/140132418,건강 관리
모순,양귀자,쓰다,"11,700원","초판이 나온 지 벌써 15년이 흘렀지만 이 소설 『모순』은 아주 특별한 길을 걷고 있다. 그때 20대였던 독자들은 지금 결혼을 하고 30대가 되어서도 가끔씩 『모순』을 꺼내 다시 읽는다고 했다. 다시 읽을 때마다 전에는 몰랐던 소설 속 행간의 의미를 깨우치거나 세월의 힘이 알려준 다른 해석에 놀라면서 “내 인생의 가장 소중한 책 한 권”으로 꼽는 것을 주저하지 않는다. 『모순』이 특별한 것은 대다수의 독자들이 한 번만 읽고 마는 것이 아니라 적어도 두 번, 혹은 세 번 이상 되풀이 읽고 있다는 사실에 있다.

『모순』의 주인공은 25세의 미혼여성 안진진. 시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명의 상태로 떠돌다 가끔씩 귀가하는 아버지, 그리고 조폭의 보스가 인생의 꿈인 남동생이 가족이다. 여기에 소설의 중요 인물로 등장하는 이모는 주인공 안진진의 어머니와는 일란성 쌍둥이로 태어났지만 인생행로는 사뭇 다르다. 부유한 이모는 지루한 삶에 진력을 내고 있고 가난한 어머니는 처리해야 할 불행들이 많아 지루할 틈이 없다. 주인공 안진진은 극단으로 나뉜 어머니와 이모의 삶을 바라보며 모순투성이인 이 삶을 어떻게 이해해야 하는지 심각하게 고민하기 시작한다.",http://www.yes24.com//Product/Goods/8759796,경제적 안정과 투자
ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),"17,820원","출제기관 ETS 토익 정기시험 기출문제 10회 최신판 Vol.4 독점공개!
시험에 출제된 기출문제와 정기시험 성우 음성 그대로, 빠르고 확실하게 대비하라!

1. 실제 기출문제 전격 공개!
이 책에는 정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 기출문제로 실전 감각을 키워 시험에 확실하게 대비하자!

2. 실제 정기시험 성우 음성으로 실전 대비!
이 책에 수록된 10세트의 LC 음원은 모두 정기시험 성우의 음원이다. 시험장에서 듣게 될 음성으로 공부하면 까다로운 영국식, 호주식 발음도 걱정 없다. 또한 강도 높은 학습을 위해 고속 버전과 소음 버전을 추가로 제공하며, YBM북스닷컴 출판 홈페이지 www.ybmbooks.com에서 무료로 다운로드 가능하다.

3 고난도 문항 무료 동영상 강의!
교재 내 QR코드는 해당 회차의 무료 동영상 강의로 연결된다. 오답률 높은 고난도 문항을 친절한 해설 강의와 함께 완벽 마스터하자!

4. 정확한 스크립트와 기출 포인트를 꿰뚫는 해설! 
최신 출제경향을 가장 정확하게 알 수 있는 기출문제를 풀고 정확한 스크립트와 출제 포인트가 보이는 명쾌한 해설로 토익을 정복해 보자!

5. ETS가 제공하는 표준 점수환산표
출제기관 ETS의 최신 표준 점수환산표를 제공한다. 채점한 뒤 환산표를 통해 자신의 진짜 실력을 가늠해 보고 앞으로의 학습 방향을 설정해 보자!

6. ETS 토익 온라인/모바일 학습 지원!
온라인 학습 커뮤니티(www.etstoeicbook.co.kr)를 통해 교재 소개 및 학습 콘텐츠, 정기시험 대비특강을 지원한다. 또한 MP3 및 동영상 강의, 기출어휘 단어장, 기출테스트 채점/분석 등을 지원하는 토익 필수템 'ETS 토익기출 수험서 어플'로 보다 스마트하게 학습해 보자!",http://www.yes24.com//Product/Goods/124043802,스마트폰과 SNS 사용
고전이 답했다 마땅히 살아야 할 삶에 대하여 (나만의 책 만들기 에디션),고명환,라곰,"15,120원","“사람에 묻지 말고, 고전에 물어라. 그 안에 진짜 길이 있다.”

*** 7만 명의 매일 아침을 바꾼 강연 ***
*** 16주 연속 베스트셀러 작가 신간 ***
*** 1000일 긍정 확언 결정판 ***

매일 아침 7만 명이 유튜브 강의를 찾아 듣고, 한 달에 20여 차례 전국의 강연장을 찾아가 독자들을 만나는 이 시대 최고의 강연자. 30만 독자가 기다린 베스트셀러 저자 고명환이 지난 10여 년간의 인생 내공이 응축된 책, 『고전이 답했다 마땅히 살아야 할 삶에 대하여』에서 고전(古典)에서 길어 올린 흔들림 없는 삶의 내공을 전한다. 1000일간 매일 외친 ‘아침 긍정 확언’은 매년 찾아오던 우울증을 떨쳐버리기 위해 괴테의 『젊은 베르테르의 슬픔』을 읽다가 발견한 해답이었다. ‘불안감’을 ‘기대감’의 말로 바꾸면 삶의 방향성이 달라진다는 고전의 답을 따라 매일 10분 긍정의 말을 외쳤고, 삶은 놀라운 방향으로 바뀌기 시작했다. 저자의 삶을 한층 밝고 건강한 쪽으로 이끈 것은 다름 아닌 ‘고전’이었다. 

나는 누구인가? 어떻게 살아야 하는가? 무엇을 행해야 하는가? 물음이 생길 때마다 고전을 펼쳐 들었고, 고전이 답했다. 칼 구스타프 융의 『칼 융 레드 북』, 블레즈 파스칼의 『팡세』, 사마천의 『사기열전』, 미하이 칙센트미하이의 『몰입 Flow』까지 수백 년의 경험과 지혜가 압축된 고전을 읽다보면 방향이 선명해졌다. 인간관계에 대한 고민에서부터 행복한 삶을 사는 법, 이기는 법까지 우리가 원하는 모든 분야에 대한 답이 고전에 있다. 느리지만, 오로지 ‘성장’이라는 방향으로 나아가는 고전에서 답을 찾아보자.",http://www.yes24.com//Product/Goods/131930939,스마트폰과 SNS 사용
불변의 법칙,모건 하우절,서삼독,"22,500원","세계적인 베스트셀러 『돈의 심리학』의 저자 모건 하우절이 3년 만에 세상에 내놓은 신작.‘절대 변하지 않는 것들에 대한 23가지 이야기’를 전한다. 출간하자마자 아마존과 뉴욕타임스 베스트셀러 자리에 오르며 아마존 독자들과 오피니언 리더들의 극찬을 받았다. 이번 책은 돈과 투자 영역은 물론이고, 인간의 본성과 세상의 이치에 관한 이야기를 두루 다루어 한층 더 다층적이고 복합적인 메시지를 담아냈다는 평가를 받는다. 

모건 하우절은 사람들은 무엇이 변할 것인지에 대해 늘 관심을 갖지만, 미래에 대비하기 위해서는 오히려 과거에도 지금도 미래에도 변함이 없는‘불변의 법칙’에 대해 알아야 한다고 강조한다. 이에 1000년 후에도 유효할 인간의 행동양식과 반복패턴에 대한 흥미로운 역사 스토리와 일화들을 들려준다. 워런 버핏의 스니커즈, 빌 게이츠의 숨겨진 불안, 유발 하라리가 받은 뜻밖의 비난, 게임스탑 사태의 보이지 않는 변수, 벌지 전투의 최후, 마술사 후디니의 죽음 등, 한 편 한 편의 이야기가 마치 다큐소설처럼 펼쳐진다. 흥미로운 일화 속에 인간사를 꿰뚫는 통찰과 삶의 교훈을 구슬처럼 꿰어내어 “역시 모건 하우절이다”라는 찬사를 받았다. 스콧 갤러웨이, 라이온 홀리데이는 물론, 국내 유수의 리더들 또한 먼저 읽고 “대단한 책이다”라는 평가를 내놓았다.",http://www.yes24.com//Product/Goods/124999476,경제적 안정과 투자
망그러진 만화 3,유랑,좋은생각,"16,020원","2023 한국에서 가장 재미있는 책 선정!‘망그러진 곰’과 ‘망그러진 햄터’의 엉뚱발랄 신나는 일상!★★★★ 미공개 에피소드와 한정판 페이퍼 토이북 수록! ★★★★‘이모티콘 캐릭터 장인’ 유랑 작가의 웹툰 ‘망그러진 만화’가 어느덧 세 번째 책으로 찾아왔다! 카카오 이모티콘 인기 캐릭터인 ‘망그러진 곰’과 ‘망그러진 햄터’의 엉뚱하면서도 공감 가득한 일상을 담은 ‘망그러진 만화’는 SNS 연재를 통해 45만 팔로워의 뜨거운 사랑을 받고 있다. 이번 책에는 인스타그램에서 공개되지 않았던 미공개 에피소드 5편과 팬들의 궁금증을 풀어줄 특별 Q&A를 포함해 총 43편의 이야기가 담겼다. 특히 초판본 한정으로 수록된 페이퍼 토이북에서는 ‘망그러진 곰’ 피규어, 가랜드, 포토카드 홀더 등 귀엽고 사랑스러운 나만의 굿즈를 직접 만들어볼 수 있는 특별한 경험도 선사한다. 투명 스티커로 표지를 꾸미는 즐거움은 덤!",http://www.yes24.com//Product/Goods/140199981,일과 삶의 균형
극락가 3 더블특전판,사노 유토,대원,"5,850원",정보 없음,http://www.yes24.com//Product/Goods/140239073,기타
